agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,9510200,60,5732,1,1,2017,2017,1,2017,168,2017,168,168,,,,,168,,,,
USGS,9510200,60,5732,1,2,2017,2017,1,2017,232,2017,232,232,,,,,232,,,,
USGS,9510200,60,5732,1,3,2017,2017,1,2017,55.6,2017,55.6,56,,,,,56,,,,
USGS,9510200,60,5732,1,4,2017,2017,1,2017,27.2,2017,27.2,27,,,,,27,,,,
USGS,9510200,60,5732,1,5,2017,2017,1,2017,16.8,2017,16.8,17,,,,,17,,,,
USGS,9510200,60,5732,1,6,2017,2017,1,2017,11.7,2017,11.7,12,,,,,12,,,,
USGS,9510200,60,5732,1,7,2017,2017,1,2017,8.8,2017,8.8,8.8,,,,,8.8,,,,
USGS,9510200,60,5732,1,8,2017,2017,1,2017,6.25,2017,6.25,6.2,,,,,6.2,,,,
USGS,9510200,60,5732,1,9,2017,2017,1,2017,4.48,2017,4.48,4.5,,,,,4.5,,,,
USGS,9510200,60,5732,1,10,2017,2017,1,2017,3.44,2017,3.44,3.4,,,,,3.4,,,,
USGS,9510200,60,5732,1,11,2017,2017,1,2017,2.65,2017,2.65,2.7,,,,,2.7,,,,
USGS,9510200,60,5732,1,12,2017,2017,1,2017,2.01,2017,2.01,2,,,,,2,,,,
USGS,9510200,60,5732,1,13,2017,2017,1,2017,1.61,2017,1.61,1.6,,,,,1.6,,,,
USGS,9510200,60,5732,1,14,2017,2017,1,2017,1.76,2017,1.76,1.8,,,,,1.8,,,,
USGS,9510200,60,5732,1,15,2017,2017,1,2017,3.16,2017,3.16,3.2,,,,,3.2,,,,
USGS,9510200,60,5732,1,16,2017,2017,1,2017,11,2017,11,11,,,,,11,,,,
USGS,9510200,60,5732,1,17,2017,2017,1,2017,20.8,2017,20.8,21,,,,,21,,,,
