DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,UV280,TDS,Fe,SO4,CO3,UV250,specificConductance,TDP,NO3NO2,Cl,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,F,ANC,TDN,Ca,Br,TSS
61.5,0.2,294.6,0.3,21.6,13.2,0.1,600,22.8,3,0.1,383.7,0,18.1,0,0.1,546.1,0,0.1,7.6,0.1,1.4,8.2,-0.1,0,0,0.4,12.8,0.9,5,0.2,52.6,0,12
61.2,0.1,309,0.4,22.6,15.8,0.2,100,23.5,3,0,404.3,0,20,0,0.1,576.5,0.1,0,7.3,0,1.5,8,-0.1,0,0,0.6,7.1,1,6.1,0.4,56.2,0,2
61.7,0.1,283.8,0.4,20.5,15.2,0.3,0,20.8,3.1,0,368.1,0,18.1,0,0.1,524.8,0.1,0.2,3.8,0,1.4,8,-0.1,0.1,0,0.4,3.4,0,5.4,0.4,51.6,0,0
62.4,0.1,226.5,0.2,19.3,15.2,0.3,0,19.8,2.8,0.1,347.1,0,45.5,0,0.1,495.1,0.1,0.1,8.1,0.1,1.4,7.9,0,0,0,0.5,2.7,1.3,3.9,0.2,49,0,0
67.7,0.1,285.7,0.2,19.8,16.1,0.1,0,21.6,2.6,0.1,373.2,0,16.4,0,0.1,532.4,0.1,0,8.2,0,1.6,7.4,0,0.1,0,0.3,2.7,1.4,4.7,0.2,53.8,0.2,0
67.6,0.2,300.6,0.2,21.1,28.1,0.2,200,22.7,2.3,0.1,405.9,0,14.9,0,0.1,558.7,0.1,0,8,0.1,1.7,7.5,0,0.1,0,0.6,2.5,1.8,5.1,0.2,55.7,0,4
69.1,0.1,307.4,0.2,21.5,28.3,0.4,200,22.8,2.3,0,409.4,0,14.9,0,0.1,571.2,0.1,0,9.8,0,1.7,7,0,0,0,0.4,2.6,1.6,6,0.2,57.6,0,4
71.5,0.1,344.7,0.1,22.9,29.8,0.4,1100,23.7,1.8,0,347,0,0.3,0,0.1,495.9,0.1,0,4.9,0,1.7,7.5,0,0,0,0.4,1.7,1.7,5.7,0,58.3,0,22
79.4,0.1,284.6,0.3,20.6,11.5,0,600,33.9,4.9,0.1,639.1,0.1,30.8,0,0.2,919.2,0,0,128.3,0,89.4,7.8,0,0,0.4,0.3,5.3,1.3,5,0.3,71.7,0,24.3
77.8,0,321.2,0.3,16.9,25.3,0,100,27,6.5,0.1,511.3,0.4,10.1,0,0.2,585.3,0,0,13.5,0.1,9.7,8,0,0.3,0.1,0.3,9.1,1.3,6.1,0.3,62.2,0,4.6
72.7,0,289.4,0.3,15.7,22,0,0,22.9,4.5,0.1,365.5,0.4,6.4,0,0.1,523.6,0,0,7.7,0,8,7.9,0,0.3,0,0.3,4.8,1.9,5.1,0.3,54.4,0,0
64.8,0.1,354.7,0.3,19,24.4,0,0,25.6,4.1,0.1,432.1,0,7.4,0,0.2,623.1,0,0.1,6.6,0,11.2,8,0,0,0,0.3,4.3,1.1,6.3,0.3,65.4,0,0
61,0.1,291.6,0.2,15.4,19.5,0,0,19.8,3.4,0.1,363.2,0,5.9,0,0.1,520.5,0,0,4.9,-0.1,7.8,8.1,0,0,0,0.4,3.7,1.1,4.9,0.2,55.4,0,0
63.5,0.1,302.6,0.3,15.9,19.7,0,0,20.8,4.9,0.1,388.5,0,5.4,0,0.1,553.7,0,0,5.4,0.2,8.2,8,0,0,0,0.3,4.3,1.2,5.1,0.2,57.1,0,0
65.8,0.1,332.1,0.3,17.4,22.2,0,4000,23.8,4.8,0.1,403.6,0,5.4,0,0.1,575.3,0,0,5.2,0.1,9.1,8.1,0,0,0.1,0.3,4.1,1.2,5.6,0,62.9,0,4
66,0.1,331.3,0.3,17.2,21.9,0,0,22.5,4.1,0.1,408.6,0.4,4.7,0,0.1,586.2,0,0,5.9,0,6.5,8.1,0,0,0.1,0.3,4.7,1.2,5.8,0.3,64.5,0,0
66.9,0.1,315.7,0.3,16.3,21.8,0,100,21.7,3.7,0.1,382.6,0.3,4.8,0,0.1,545.7,0,0,6.2,0,6.3,8,0,0,0.1,0.3,4,1.3,5.3,0.3,59.8,0,4
66.6,0.1,389.6,0.4,19.6,3.1,0,200,29.8,4.7,0.1,463.7,0,4,0,0.2,670.3,0,0,6.2,0,10.6,8.1,0,0,0.1,0.4,5.2,1.2,6.4,0.3,71.1,0,8
68.5,0.1,131.6,0.4,18.9,2.7,0,0,28.3,5.1,0.1,454.9,0,95.8,0,0.2,652.5,0,0,75.9,0,9.8,8,0,0,0,0.3,5.2,1.2,2.2,0.3,68.9,0,0
70.2,0.1,358.5,0.4,19.6,7.2,0,0,28.9,4.8,0.1,469.3,0,13.6,0,0.2,672.4,0,0,12.6,0,10.1,8,0,0,0,0.3,5,1.3,5.9,0.4,70.8,0,0
68.1,0.2,367.5,0.4,18.1,22.5,0,0,24.8,5.6,0.1,438.1,0,3,0,0.2,609.8,0,0,0.3,0.1,10.2,8,0,0,0,0.8,5.4,0,6.2,0.3,65.1,0.9,0
66.1,0.1,346.1,0.3,17.5,21.9,0,0,24.3,5.2,0.1,405.3,0,3.8,0,0.2,576.3,0,0,4.2,0,10.3,8.1,0,0,0,0.3,5,1.1,5.7,0.4,63.7,0,0
71.7,0,363.2,0.3,18.3,21.2,0,300,24.2,5.6,0.1,431.6,0,2.4,0,0.2,610.5,0,0,4.2,0,9.9,8,0,0,0,0.3,5.9,1.2,6,0.4,66.8,0,12
69,0.1,369.6,0.4,18.3,21.4,0,100,25.6,6.1,0.2,430.8,0,2.1,0,0.2,620.6,0,0,3.6,0,10,8,0,0,0,0.3,6.6,1.3,6.1,0.4,67.1,0,4
71.2,0.1,363.6,0.3,18.4,25.2,0,400,28.9,4.6,0.1,438.4,0,4,0,0.2,621.6,0,0,4.8,0.1,10.9,8,0,0,0,0.4,4.7,1.4,6,0.3,63.5,0,4
72.3,0.1,373.4,0.4,18.7,27.4,0.1,1200,30.2,5.3,0.1,451.2,0,5.5,0,0.2,638.6,0,0,5.5,0.1,10.7,8.2,0,0,0.4,0.4,4.6,1.4,6.6,0.3,66.3,0,12
72.4,0.2,385.8,0.3,19.4,28.2,0,200,31.3,4.9,0.1,462.8,0,5.3,0,0.2,639.1,0,0,5.5,0,11.1,8.4,0,0,0.2,0.9,4.7,1.4,6.4,0.3,68,0,4
77.8,0.1,327.1,0.5,22.4,8.1,0,900,32.4,5.2,0.1,409.2,0,7.8,0,0.2,584.2,0,0,8,0,12.3,7.8,0,0,0,0.3,5.1,1.5,5.9,0.4,44.6,0,18
77.3,-0.1,375.7,0.3,19.3,10.2,0,1000,24.2,4.5,0.1,466.1,0,6.9,0,0.2,665.4,0,0,9.3,0.1,11.1,7.6,0,0,0,0.7,4.6,1.5,6.8,0.3,73.7,0,20
75.7,0.1,358.9,0.2,18.2,0.7,0,500,25.4,4.8,0.1,342,0,9.3,0,0.2,486.4,0,0,7.8,0.1,10.7,7.6,0,0,0,0.4,5.1,0,6,0.2,38.8,0,10
81.4,0.1,274.6,0.2,19.2,0.7,0,300,22.3,5.2,0.1,393.7,0,9.1,0,0.2,561.2,0,0,13.4,0.1,10.8,8,0,0,0,0.4,5.5,2.9,4.8,0.2,48,3.6,6
76.4,0.1,326.9,0,18.4,0.7,0,100,19.4,4.2,0.1,405.9,0,2.4,0,0.1,576.4,0,0,7.6,0.1,9.1,7.8,0,0,0,0.5,4.2,2.6,5.4,0,62.5,0,2
