agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,9510200,60,5732,1,1,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,2,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,3,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,4,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,5,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,6,2019,2019,1,2019,0.08,2019,0.08,0.08,,,,,0.08,,,,
USGS,9510200,60,5732,1,7,2019,2019,1,2019,0.05,2019,0.05,0.05,,,,,0.05,,,,
USGS,9510200,60,5732,1,8,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,1,9,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,1,10,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,1,11,2019,2019,1,2019,0.05,2019,0.05,0.05,,,,,0.05,,,,
USGS,9510200,60,5732,1,12,2019,2019,1,2019,0.06,2019,0.06,0.06,,,,,0.06,,,,
USGS,9510200,60,5732,1,13,2019,2019,1,2019,0.06,2019,0.06,0.06,,,,,0.06,,,,
USGS,9510200,60,5732,1,14,2019,2019,1,2019,0.07,2019,0.07,0.07,,,,,0.07,,,,
USGS,9510200,60,5732,1,15,2019,2019,1,2019,0.07,2019,0.07,0.07,,,,,0.07,,,,
USGS,9510200,60,5732,1,16,2019,2019,1,2019,0.06,2019,0.06,0.06,,,,,0.06,,,,
USGS,9510200,60,5732,1,17,2019,2019,1,2019,0.06,2019,0.06,0.06,,,,,0.06,,,,
USGS,9510200,60,5732,1,18,2019,2019,1,2019,0.05,2019,0.05,0.05,,,,,0.05,,,,
USGS,9510200,60,5732,1,19,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,1,20,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,1,21,2019,2019,1,2019,0.05,2019,0.05,0.05,,,,,0.05,,,,
USGS,9510200,60,5732,1,22,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,1,23,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,24,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,25,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,26,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,27,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,28,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,29,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,30,2019,2019,1,2019,0.03,2019,0.03,0.03,,,,,0.03,,,,
USGS,9510200,60,5732,1,31,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,2,1,2019,2019,1,2019,0.04,2019,0.04,0.04,,,,,0.04,,,,
USGS,9510200,60,5732,2,2,2019,2019,1,2019,0.06,2019,0.06,0.06,,,,,0.06,,,,
USGS,9510200,60,5732,2,3,2019,2019,1,2019,0.12,2019,0.12,0.12,,,,,0.12,,,,
USGS,9510200,60,5732,2,4,2019,2019,1,2019,0.1,2019,0.1,0.1,,,,,0.1,,,,
USGS,9510200,60,5732,2,5,2019,2019,1,2019,3.19,2019,3.19,3.2,,,,,3.2,,,,
USGS,9510200,60,5732,2,6,2019,2019,1,2019,46.7,2019,46.7,47,,,,,47,,,,
USGS,9510200,60,5732,2,7,2019,2019,1,2019,35.8,2019,35.8,36,,,,,36,,,,
USGS,9510200,60,5732,2,8,2019,2019,1,2019,21.1,2019,21.1,21,,,,,21,,,,
USGS,9510200,60,5732,2,9,2019,2019,1,2019,14,2019,14,14,,,,,14,,,,
USGS,9510200,60,5732,2,10,2019,2019,1,2019,9.4,2019,9.4,9.4,,,,,9.4,,,,
USGS,9510200,60,5732,2,11,2019,2019,1,2019,6.32,2019,6.32,6.3,,,,,6.3,,,,
USGS,9510200,60,5732,2,12,2019,2019,1,2019,4.38,2019,4.38,4.4,,,,,4.4,,,,
USGS,9510200,60,5732,2,13,2019,2019,1,2019,3.6,2019,3.6,3.6,,,,,3.6,,,,
USGS,9510200,60,5732,2,14,2019,2019,1,2019,4.07,2019,4.07,4.1,,,,,4.1,,,,
USGS,9510200,60,5732,2,15,2019,2019,1,2019,428,2019,428,428,,,,,428,,,,
USGS,9510200,60,5732,2,16,2019,2019,1,2019,165,2019,165,165,,,,,165,,,,
USGS,9510200,60,5732,2,17,2019,2019,1,2019,77.4,2019,77.4,77,,,,,77,,,,
USGS,9510200,60,5732,2,18,2019,2019,1,2019,74.7,2019,74.7,75,,,,,75,,,,
USGS,9510200,60,5732,2,19,2019,2019,1,2019,102,2019,102,102,,,,,102,,,,
USGS,9510200,60,5732,2,20,2019,2019,1,2019,78.9,2019,78.9,79,,,,,79,,,,
USGS,9510200,60,5732,2,21,2019,2019,1,2019,148,2019,148,148,,,,,148,,,,
USGS,9510200,60,5732,2,22,2019,2019,1,2019,342,2019,342,342,,,,,342,,,,
USGS,9510200,60,5732,2,23,2019,2019,1,2019,232,2019,232,232,,,,,232,,,,
USGS,9510200,60,5732,2,24,2019,2019,1,2019,257,2019,257,257,,,,,257,,,,
USGS,9510200,60,5732,2,25,2019,2019,1,2019,321,2019,321,321,,,,,321,,,,
USGS,9510200,60,5732,2,26,2019,2019,1,2019,424,2019,424,424,,,,,424,,,,
USGS,9510200,60,5732,2,27,2019,2019,1,2019,547,2019,547,547,,,,,547,,,,
USGS,9510200,60,5732,2,28,2019,2019,1,2019,480,2019,480,480,,,,,480,,,,
USGS,9510200,60,5732,3,1,2019,2019,1,2019,416,2019,416,416,,,,,416,,,,
USGS,9510200,60,5732,3,2,2019,2019,1,2019,369,2019,369,369,,,,,369,,,,
USGS,9510200,60,5732,3,3,2019,2019,1,2019,282,2019,282,282,,,,,282,,,,
USGS,9510200,60,5732,3,4,2019,2019,1,2019,185,2019,185,185,,,,,185,,,,
USGS,9510200,60,5732,3,5,2019,2019,1,2019,118,2019,118,118,,,,,118,,,,
USGS,9510200,60,5732,3,6,2019,2019,1,2019,86.6,2019,86.6,87,,,,,87,,,,
USGS,9510200,60,5732,3,7,2019,2019,1,2019,69.5,2019,69.5,69,,,,,69,,,,
USGS,9510200,60,5732,3,8,2019,2019,1,2019,61,2019,61,61,,,,,61,,,,
USGS,9510200,60,5732,3,9,2019,2019,1,2019,59.6,2019,59.6,60,,,,,60,,,,
USGS,9510200,60,5732,3,10,2019,2019,1,2019,50.5,2019,50.5,51,,,,,51,,,,
USGS,9510200,60,5732,3,11,2019,2019,1,2019,45.6,2019,45.6,46,,,,,46,,,,
USGS,9510200,60,5732,3,12,2019,2019,1,2019,74,2019,74,74,,,,,74,,,,
USGS,9510200,60,5732,3,13,2019,2019,1,2019,800,2019,800,800,,,,,800,,,,
USGS,9510200,60,5732,3,14,2019,2019,1,2019,398,2019,398,398,,,,,398,,,,
USGS,9510200,60,5732,3,15,2019,2019,1,2019,192,2019,192,192,,,,,192,,,,
USGS,9510200,60,5732,3,16,2019,2019,1,2019,133,2019,133,133,,,,,133,,,,
USGS,9510200,60,5732,3,17,2019,2019,1,2019,108,2019,108,108,,,,,108,,,,
USGS,9510200,60,5732,3,18,2019,2019,1,2019,86.6,2019,86.6,87,,,,,87,,,,
USGS,9510200,60,5732,3,19,2019,2019,1,2019,71.6,2019,71.6,72,,,,,72,,,,
